loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT)
2021-11-29 12:43:00.903 -0500,1,85775.46317641667,-0.0004119873046875,0.0014190673828125,-1.002822875976562,85775.45817441668,-0.00800066813826561,-0.01049019116908312,0.004702876321971416,85775.46587441667,-122.0746765136719,47.02850341796875,-179.5448303222656
2021-11-29 12:43:00.904 -0500,2,85775.47318141667,-0.0013580322265625,0.0018310546875,-0.999847412109375,85775.46817941667,-0.0005512743373401463,-0.01106942910701036,0.003949734382331371,85775.47595541667,-121.9948120117188,47.17976379394531,-179.866455078125
2021-11-29 12:43:00.905 -0500,3,85775.48318741667,-0.002899169921875,0.001495361328125,-1.001235961914062,85775.47818441667,-0.001755555742420256,-0.01154986303299665,0.006205698009580374,85775.48603541667,-121.9920501708984,47.00106811523438,-179.2291259765625
2021-11-29 12:43:00.905 -0500,4,85775.49319241667,-0.0037689208984375,0.00079345703125,-1.00262451171875,85775.48818941668,-0.005793706979602575,-0.01241006422787905,0.005195028148591518,85775.49611641667,-121.7708587646484,47.07083129882812,-179.1596984863281
2021-11-29 12:43:00.906 -0500,5,85775.50319741668,-0.004547119140625,0.002288818359375,-1.002670288085938,85775.49819441666,-0.004683168604969978,-0.01220047380775213,0.007202519103884697,85775.50619741667,-121.7247314453125,47.1219482421875,-179.5145721435547
2021-11-29 12:43:00.909 -0500,6,85775.51320241667,-0.003570556640625,0.001983642578125,-1.000152587890625,85775.50820041668,-0.00307195633649826,-0.01177383493632078,0.00577719509601593,85775.51627841668,-121.7621459960938,47.36602783203125,-179.6970520019531
2021-11-29 12:43:00.920 -0500,7,85775.52320741667,-0.002410888671875,0.003204345703125,-0.9996337890625,85775.51820541667,-0.003802994033321738,-0.01165772136300802,0.004884503781795502,85775.52635941668,-121.8529205322266,47.33580017089844,-179.0265045166016
2021-11-29 12:43:00.929 -0500,8,85775.53321341667,-0.0021514892578125,0.002716064453125,-1.001052856445312,85775.52821041667,-0.00330338510684669,-0.009785518981516361,0.004632302559912205,85775.53643841668,-121.5774993896484,47.24327087402344,-179.8178405761719
2021-11-29 12:43:00.939 -0500,9,85775.54321841667,-0.001190185546875,0.0019073486328125,-1.001846313476562,85775.53821541667,-0.004341484978795052,-0.01009124983102083,0.005697567015886307,85775.54651741667,-121.7660522460938,47.34996032714844,-179.5154571533203
2021-11-29 12:43:00.949 -0500,10,85775.55322341667,-0.0009002685546875,0.0025787353515625,-1.002105712890625,85775.54822041668,-0.003258643904700875,-0.01340022776275873,0.005201952531933784,85775.55659841668,-121.8383331298828,47.45370483398438,-179.3147125244141
2021-11-29 12:43:00.959 -0500,11,85775.56322841668,-0.0025482177734375,0.00262451171875,-1.001083374023438,85775.55822641667,-0.001330249011516571,-0.01290035247802734,0.006331132724881172,85775.56667841667,-121.8988494873047,47.06851196289062,-179.6550750732422
2021-11-29 12:43:00.969 -0500,12,85775.57323441668,-0.00347900390625,0.002349853515625,-1.001510620117188,85775.56823141668,-0.002867159200832248,-0.01263962872326374,0.00688933115452528,85775.56667841667,-121.8988494873047,47.06851196289062,-179.6550750732422
2021-11-29 12:43:00.984 -0500,13,85775.58323941668,-0.0044708251953125,0.0010833740234375,-1.002166748046875,85775.57823641667,-0.003144394373521209,-0.01255573891103268,0.0045585329644382,85775.57675841668,-121.8119049072266,47.30143737792969,-179.4774780273438
2021-11-29 12:43:00.989 -0500,14,85775.59324441667,-0.00506591796875,0.0014495849609375,-1.001556396484375,85775.58824141667,-0.005364938173443079,-0.01295814290642738,0.008044344373047352,85775.58683941668,-121.8952178955078,47.50308227539062,-179.6964569091797
2021-11-29 12:43:00.999 -0500,15,85775.60324941667,-0.0039215087890625,0.002044677734375,-1.000473022460938,85775.59824741667,-0.003374491352587938,-0.01129846088588238,0.005906092468649149,85775.59691841668,-122.0761108398438,47.63919067382812,-179.5486602783203
2021-11-29 12:43:01.009 -0500,16,85775.61325441668,-0.002838134765625,0.0024566650390625,-1.001113891601562,85775.60825241667,-0.004677309654653072,-0.01480131689459085,0.003555586328729987,85775.60699841667,-121.7120666503906,47.42184448242188,-179.6582794189453
2021-11-29 12:43:01.019 -0500,17,85775.62326041667,-0.0007781982421875,0.00213623046875,-1.001296997070312,85775.61825741667,-0.006512227933853865,-0.01296746358275414,0.007232612930238247,85775.61707941667,-121.9676055908203,47.59330749511719,-179.97119140625
2021-11-29 12:43:01.029 -0500,18,85775.63326541668,-0.0010223388671875,0.0012359619140625,-1.001129150390625,85775.62826241668,-0.003574761096388102,-0.0131256552413106,0.007203584536910057,85775.62715941668,-121.7572326660156,47.38801574707031,-179.3434600830078
2021-11-29 12:43:01.047 -0500,19,85775.64327041667,-0.0014801025390625,0.0022125244140625,-1.001983642578125,85775.63826741667,-0.006933539640158415,-0.01276533026248217,0.003925499506294727,85775.63723941667,-121.9702606201172,47.4141845703125,-179.6279449462891
2021-11-29 12:43:01.049 -0500,20,85775.65327541667,-0.0009307861328125,0.002532958984375,-0.9996490478515625,85775.64827341668,-0.007448595017194748,-0.01414964068681002,0.006197175942361355,85775.64732041667,-121.7085418701172,47.37602233886719,-179.7794799804688
