loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2022-02-17 14:55:41.670 -0500,1645127740.833433,34.01161219294617,-80.98460124639941,63.42598,0,169.244047742686,14.65109213843592,11.43396288454015,-9999,2887.938216416667,-0.015655517578125,-0.016448974609375,-1.003189086914062,2887.838820416667,-0.2805963105025792,-0.01952365879959549,0.01455144076135432,-0.02557581849396229,-0.004702330566942692,-0.05593705177307129,-0.01114974357187748,-0.0002358080819249153,0.003030002117156982,XArbitraryZVertical,0.005838804133469053,-0.01068286900379983,-0.1398982860922725,0.9900911935949878,-0.01952035166323185,-0.01455092709511518,-0.999703586101532,0,0,0,-1,-1,2886.983521,unknown,2,2022-02-17 14:55:40.717 -0500,666820540.716956,0,0.5999985,100.9982,1,1
2022-02-17 14:55:41.769 -0500,1645127740.833433,34.01161219294617,-80.98460124639941,63.42598,0,169.244047742686,14.65109213843592,11.43396288454015,-9999,2888.037613416667,-0.0175933837890625,-0.00775146484375,-1.006484985351562,2887.938216416667,-0.2816918589356518,-0.01990017331325251,0.0156590609057735,0.04557798802852631,0.02420515008270741,0.08776526153087616,0.004118902608752251,-0.006483051925897598,-0.002884030342102051,XArbitraryZVertical,0.006354801687843964,-0.01095014097245567,-0.1404465874666587,0.9900073769567704,-0.01989641971886158,-0.01565842144191265,-0.9996794462203979,0,0,0,-1,-1,2886.983521,unknown,2,2022-02-17 14:55:40.717 -0500,666820540.716956,0,0.5999985,100.9982,1,1
2022-02-17 14:55:41.869 -0500,1645127740.833433,34.01161219294617,-80.98460124639941,63.42598,0,169.244047742686,14.65109213843592,11.43396288454015,-9999,2888.137010416667,-0.0051116943359375,-0.022552490234375,-1.00372314453125,2888.137010416667,-0.2803227336439634,-0.01359088127848291,0.01927813475576406,-0.02906615473330021,0.003676073625683784,-0.04943827539682388,0.006172237917780876,0.0004466250538825989,-0.001788735389709473,XArbitraryZVertical,0.008594881628249099,-0.008074989658597313,-0.139758035385044,0.9901155143688746,-0.01358793769031763,-0.01927694119513035,-0.9997218251228333,0,0,0,-1,-1,2886.983521,unknown,2,2022-02-17 14:55:40.717 -0500,666820540.716956,0,0.5999985,100.9982,1,1
2022-02-17 14:55:41.968 -0500,1645127740.833433,34.01161219294617,-80.98460124639941,63.42598,0,169.244047742686,14.65109213843592,11.43396288454015,-9999,2888.236406416667,-0.0138092041015625,-0.0276947021484375,-1.004928588867188,2888.137010416667,-0.2803227336439634,-0.01359088127848291,0.01927813475576406,-0.02906615473330021,0.003676073625683784,-0.04943827539682388,0.006172237917780876,0.0004466250538825989,-0.001788735389709473,XArbitraryZVertical,0.008594881628249099,-0.008074989658597313,-0.139758035385044,0.9901155143688746,-0.01358793769031763,-0.01927694119513035,-0.9997218251228333,0,0,0,-1,-1,2886.983521,unknown,2,2022-02-17 14:55:40.717 -0500,666820540.716956,0,0.5999985,100.9982,1,1
2022-02-17 14:55:42.067 -0500,1645127740.833433,34.01161219294617,-80.98460124639941,63.42598,0,169.244047742686,14.65109213843592,11.43396288454015,-9999,2888.335803416667,-0.0097808837890625,-0.0105743408203125,-1.009353637695312,2888.236406416667,-0.2803877680709752,-0.01345896713452446,0.02185003019742603,0.0509735532104969,-0.01828158833086491,0.03994366899132729,0.001507787965238094,-0.007663173601031303,-0.002419650554656982,XArbitraryZVertical,0.009877086830807477,-0.008189555091355796,-0.1397963904951802,0.9900971546612884,-0.01345534808933735,-0.02184829115867615,-0.9996707439422607,0,0,0,-1,-1,2886.983521,unknown,2,2022-02-17 14:55:40.717 -0500,666820540.716956,0,0.5999985,100.9982,1,1
2022-02-17 14:55:42.167 -0500,1645127740.833433,34.01161219294617,-80.98460124639941,63.42598,0,169.244047742686,14.65109213843592,11.43396288454015,-9999,2888.435199416667,-0.011322021484375,-0.0229949951171875,-1.0072021484375,2888.335803416667,-0.2777475603859842,-0.01501420439952992,0.02610704106191495,0.07475131750106812,0.02175957150757313,0.05145731568336487,0.00191655196249485,0.01121052540838718,-0.0103105902671814,XArbitraryZVertical,0.01188802267181568,-0.009240992124891689,-0.1385091721283354,0.9902467303794883,-0.01500852406024933,-0.02610407583415508,-0.9995465874671936,0,0,0,-1,-1,2886.983521,unknown,2,2022-02-17 14:55:40.717 -0500,666820540.716956,0,0.5999985,100.9982,1,1
2022-02-17 14:55:42.266 -0500,1645127740.833433,34.01161219294617,-80.98460124639941,63.42598,0,169.244047742686,14.65109213843592,11.43396288454015,-9999,2888.534596666667,-0.0192108154296875,-0.0315399169921875,-1.002151489257812,2888.435199416667,-0.27553008039847,-0.01255490677901788,0.03204490013535779,0.05501623079180717,-0.01514808088541031,0.04592446237802505,0.00667356513440609,0.00509142130613327,-0.01327216625213623,XArbitraryZVertical,0.01500768593126355,-0.008417356726047077,-0.1374089467507302,0.990365068749109,-0.01254813186824322,-0.03203941509127617,-0.9994078278541565,0,0,0,-1,-1,2886.983521,unknown,2,2022-02-17 14:55:40.717 -0500,666820540.716956,0,0.5999985,100.9982,1,1
2022-02-17 14:55:42.366 -0500,1645127740.833433,34.01161219294617,-80.98460124639941,63.42598,0,169.244047742686,14.65109213843592,11.43396288454015,-9999,2888.633993666667,-0.0103302001953125,-0.04217529296875,-1.001068115234375,2888.534596666667,-0.2714707647242363,-0.01329647309847778,0.03830114190979916,0.04804407805204391,-0.0195614043623209,-0.02129265666007996,-0.003315168432891369,0.007727455347776413,-0.00343090295791626,XArbitraryZVertical,0.01807338466351713,-0.009177049144437323,-0.1354172920828383,0.9905813573104579,-0.01328632980585098,-0.03829177841544151,-0.9991782903671265,0,0,0,-1,-1,2886.983521,unknown,2,2022-02-17 14:55:40.717 -0500,666820540.716956,0,0.5999985,100.9982,1,1
2022-02-17 14:55:42.465 -0500,1645127741.783421,34.01161219294617,-80.98460124639941,63.42598,0,169.244047742686,6.12077801674191,8.324394630008294,-9999,2888.733389666667,-0.0045318603515625,-0.049957275390625,-0.9984588623046875,2888.633993666667,-0.2716524208767162,-0.01349482763958281,0.04230024166993081,0.07198216766119003,0.0003880690783262253,0.01992588676512241,0.002099353820085526,0.0006759390234947205,-0.0009091496467590332,XArbitraryZVertical,0.0200398343471654,-0.009547358897575355,-0.1355169647134052,0.9905263986304362,-0.01348234713077545,-0.04228762909770012,-0.9990144968032837,0,0,0,-1,-1,2886.983521,unknown,2,2022-02-17 14:55:40.717 -0500,666820540.716956,0,0.5999985,100.9982,1,1
2022-02-17 14:55:42.565 -0500,1645127741.783421,34.01161219294617,-80.98460124639941,63.42598,0,169.244047742686,6.12077801674191,8.324394630008294,-9999,2888.832786666667,-0.0157318115234375,-0.05010986328125,-0.99493408203125,2888.733389666667,-0.2734315572840206,-0.0146012388428984,0.04332393846076171,-0.02939053066074848,0.01276647485792637,-0.0211843978613615,0.004775683395564556,-0.003916535526514053,0.002281665802001953,XArbitraryZVertical,0.02046282694233996,-0.01018274041626924,-0.1364113147617734,0.9903886916784371,-0.01458701957017183,-0.04331038519740105,-0.9989551901817322,0,0,0,-1,-1,2886.983521,unknown,2,2022-02-17 14:55:40.717 -0500,666820540.716956,0,0.5999985,100.9982,1,1
