loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT)
2022-03-03 17:35:03.957 -0500,1,83112.68869550001,0.057098388671875,-0.3843841552734375,-0.8619842529296875,83112.68869550001,-0.04918858408927917,-0.2255806624889374,0.01270221266895533,83112.6649855,-97.25572204589844,27.29261779785156,-192.6996002197266
2022-03-03 17:35:03.958 -0500,2,83112.6987015,0.0392608642578125,-0.36181640625,-0.8543243408203125,83112.6987015,0.04645085707306862,-0.1198670119047165,-0.01521703600883484,83112.6649855,-97.25572204589844,27.29261779785156,-192.6996002197266
2022-03-03 17:35:03.958 -0500,3,83112.70870650001,0.04315185546875,-0.34478759765625,-0.876983642578125,83112.70870650001,0.1071139350533485,-0.07656507939100266,-0.04612169042229652,83112.6649855,-97.25572204589844,27.29261779785156,-192.6996002197266
2022-03-03 17:35:03.960 -0500,4,83112.71871250001,0.0411376953125,-0.35223388671875,-0.8923492431640625,83112.71871250001,0.1220524087548256,-0.05675782263278961,-0.06057572737336159,83112.6649855,-97.25572204589844,27.29261779785156,-192.6996002197266
2022-03-03 17:35:03.971 -0500,5,83112.7287185,0.0379638671875,-0.364593505859375,-0.9030914306640625,83112.7287185,0.1116010993719101,-0.07897470891475677,-0.0602944977581501,83112.6649855,-97.25572204589844,27.29261779785156,-192.6996002197266
2022-03-03 17:35:03.985 -0500,6,83112.7387245,0.043182373046875,-0.375213623046875,-0.91937255859375,83112.7387245,0.08652982860803604,-0.1119054928421974,-0.08291538804769516,83112.7355375,-97.18753051757812,27.50349426269531,-192.9341735839844
2022-03-03 17:35:03.990 -0500,7,83112.7487295,0.0570068359375,-0.3798065185546875,-0.929290771484375,83112.7487295,0.02066612988710403,-0.1275571584701538,-0.1148147359490395,83112.7355375,-97.18753051757812,27.50349426269531,-192.9341735839844
2022-03-03 17:35:04.001 -0500,8,83112.7587355,0.05010986328125,-0.3863677978515625,-0.93475341796875,83112.7587355,-0.05939621478319168,-0.154046818614006,-0.1578397005796432,83112.7355375,-97.18753051757812,27.50349426269531,-192.9341735839844
2022-03-03 17:35:04.011 -0500,9,83112.76874150001,0.0360107421875,-0.38458251953125,-0.9386444091796875,83112.76874150001,-0.1316602975130081,-0.1853900998830795,-0.1963058561086655,83112.7355375,-97.18753051757812,27.50349426269531,-192.9341735839844
2022-03-03 17:35:04.020 -0500,10,83112.77874750001,0.030303955078125,-0.38153076171875,-0.935516357421875,83112.77874750001,-0.1690073907375336,-0.209489569067955,-0.2234328240156174,83112.7355375,-97.18753051757812,27.50349426269531,-192.9341735839844
2022-03-03 17:35:04.030 -0500,11,83112.78875250001,0.0266876220703125,-0.37841796875,-0.9408111572265625,83112.78875250001,-0.171903058886528,-0.2437053322792053,-0.2423631101846695,83112.7355375,-97.18753051757812,27.50349426269531,-192.9341735839844
2022-03-03 17:35:04.049 -0500,12,83112.79875850001,0.02764892578125,-0.3739013671875,-0.94232177734375,83112.79875850001,-0.1414756327867508,-0.2355336993932724,-0.2404102087020874,83112.7355375,-97.18753051757812,27.50349426269531,-192.9341735839844
2022-03-03 17:35:04.050 -0500,13,83112.80876450001,0.0394744873046875,-0.37957763671875,-0.9453277587890625,83112.80876450001,-0.07558397203683853,-0.2270182371139526,-0.2219710201025009,83112.80609150001,-98.45698547363281,28.24269104003906,-193.1278381347656
2022-03-03 17:35:04.061 -0500,14,83112.8187705,0.0336761474609375,-0.383880615234375,-0.957122802734375,83112.8187705,0.01453979406505823,-0.2219592928886414,-0.1962211728096008,83112.80609150001,-98.45698547363281,28.24269104003906,-193.1278381347656
2022-03-03 17:35:04.071 -0500,15,83112.8287765,0.0204315185546875,-0.384979248046875,-0.95635986328125,83112.8287765,0.1013356745243073,-0.2041888236999512,-0.1740101426839828,83112.80609150001,-98.45698547363281,28.24269104003906,-193.1278381347656
2022-03-03 17:35:04.081 -0500,16,83112.8387815,0.00732421875,-0.3823394775390625,-0.95233154296875,83112.8387815,0.1640989184379578,-0.1789995729923248,-0.1622397750616074,83112.80609150001,-98.45698547363281,28.24269104003906,-193.1278381347656
2022-03-03 17:35:04.091 -0500,17,83112.8487875,-0.0045623779296875,-0.37322998046875,-0.9470062255859375,83112.8487875,0.1963860243558884,-0.1237453743815422,-0.1410926729440689,83112.80609150001,-98.45698547363281,28.24269104003906,-193.1278381347656
2022-03-03 17:35:04.111 -0500,18,83112.85879350001,0.0066986083984375,-0.380706787109375,-0.9366607666015625,83112.85879350001,0.2016268521547318,-0.06705493479967117,-0.09895161539316177,83112.80609150001,-98.45698547363281,28.24269104003906,-193.1278381347656
2022-03-03 17:35:04.112 -0500,19,83112.86879950001,0.01617431640625,-0.393798828125,-0.9481353759765625,83112.86879950001,0.1929236501455307,-0.06011686474084854,-0.04869989305734634,83112.80609150001,-98.45698547363281,28.24269104003906,-193.1278381347656
2022-03-03 17:35:04.120 -0500,20,83112.87880450001,0.0146331787109375,-0.394195556640625,-0.953338623046875,83112.87880450001,0.1643098443746567,-0.05374152585864067,-0.01770149916410446,83112.8766475,-98.64137268066406,28.14451599121094,-193.1705627441406
2022-03-03 17:35:04.131 -0500,21,83112.88881050001,0.01348876953125,-0.3907012939453125,-0.9464111328125,83112.88881050001,0.1213317513465881,-0.02834242582321167,-0.007409446872770786,83112.8766475,-98.64137268066406,28.14451599121094,-193.1705627441406
2022-03-03 17:35:04.141 -0500,22,83112.8988165,0.0174407958984375,-0.3895111083984375,-0.94146728515625,83112.8988165,0.08049643784761429,-0.01288517192006111,-0.01039591524749994,83112.8766475,-98.64137268066406,28.14451599121094,-193.1705627441406
2022-03-03 17:35:04.150 -0500,23,83112.9088225,0.0239105224609375,-0.3879852294921875,-0.9457244873046875,83112.9088225,0.04482446238398552,-0.02485128678381443,-0.02359454147517681,83112.8766475,-98.64137268066406,28.14451599121094,-193.1705627441406
2022-03-03 17:35:04.166 -0500,24,83112.91882750001,0.02801513671875,-0.3819580078125,-0.944976806640625,83112.91882750001,0.01890258491039276,-0.03864060342311859,-0.04153332859277725,83112.8766475,-98.64137268066406,28.14451599121094,-193.1705627441406
2022-03-03 17:35:04.170 -0500,25,83112.9288335,0.0235595703125,-0.377685546875,-0.9379119873046875,83112.9288335,-0.008679508231580257,-0.02333967760205269,-0.04701144993305206,83112.8766475,-98.64137268066406,28.14451599121094,-193.1705627441406
2022-03-03 17:35:04.180 -0500,26,83112.9388395,0.0345458984375,-0.3895416259765625,-0.926422119140625,83112.9388395,-0.02713414840400219,-0.008618255145847797,-0.02689979039132595,83112.8766475,-98.64137268066406,28.14451599121094,-193.1705627441406
2022-03-03 17:35:04.190 -0500,27,83112.94884550001,0.040313720703125,-0.40118408203125,-0.93231201171875,83112.9388395,-0.02713414840400219,-0.008618255145847797,-0.02689979039132595,83112.94719650001,-99.11367797851562,28.00703430175781,-193.1891326904297
2022-03-03 17:35:04.200 -0500,28,83112.9588505,0.0303192138671875,-0.3964385986328125,-0.9297637939453125,83112.9588505,-0.03804139047861099,-0.02882152795791626,-0.01037407759577036,83112.94719650001,-99.11367797851562,28.00703430175781,-193.1891326904297
2022-03-03 17:35:04.211 -0500,29,83112.96885650001,0.0240478515625,-0.38433837890625,-0.9133148193359375,83112.96885650001,-0.03546638041734695,-0.00654578348621726,-0.02573465742170811,83112.94719650001,-99.11367797851562,28.00703430175781,-193.1891326904297
2022-03-03 17:35:04.224 -0500,30,83112.97886250001,0.0237884521484375,-0.3779449462890625,-0.9077911376953125,83112.97886250001,-0.03076670132577419,0.007444067858159542,-0.03942809998989105,83112.94719650001,-99.11367797851562,28.00703430175781,-193.1891326904297
2022-03-03 17:35:04.231 -0500,31,83112.9888685,0.02838134765625,-0.3789825439453125,-0.9106292724609375,83112.9888685,-0.02386831492185593,0.003205114277079701,-0.0420483835041523,83112.94719650001,-99.11367797851562,28.00703430175781,-193.1891326904297
2022-03-03 17:35:04.241 -0500,32,83112.99887350001,0.03204345703125,-0.382476806640625,-0.91259765625,83112.99887350001,-0.01300341635942459,-0.0007382282637991011,-0.04021213576197624,83112.94719650001,-99.11367797851562,28.00703430175781,-193.1891326904297
2022-03-03 17:35:04.251 -0500,33,83113.0088795,0.0312957763671875,-0.38299560546875,-0.9122314453125,83113.0088795,-0.01196185406297445,0.001525991247035563,-0.03746907785534859,83112.94719650001,-99.11367797851562,28.00703430175781,-193.1891326904297
2022-03-03 17:35:04.261 -0500,34,83113.0188855,0.0288543701171875,-0.3807373046875,-0.91009521484375,83113.0188855,-0.02490108832716942,-0.0114382766187191,-0.03582697361707687,83113.0177465,-99.10737609863281,28.20283508300781,-193.6310272216797
2022-03-03 17:35:04.271 -0500,35,83113.0288915,0.0255889892578125,-0.3813018798828125,-0.9122314453125,83113.0288915,-0.04736831411719322,-0.01880910806357861,-0.03095179051160812,83113.0177465,-99.10737609863281,28.20283508300781,-193.6310272216797
2022-03-03 17:35:04.284 -0500,36,83113.03889750001,0.02362060546875,-0.3831634521484375,-0.9079437255859375,83113.03889750001,-0.07130587100982666,-0.01888048090040684,-0.0213625468313694,83113.0177465,-99.10737609863281,28.20283508300781,-193.6310272216797
2022-03-03 17:35:04.290 -0500,37,83113.0489025,0.025146484375,-0.381500244140625,-0.909271240234375,83113.03889750001,-0.07130587100982666,-0.01888048090040684,-0.0213625468313694,83113.0177465,-99.10737609863281,28.20283508300781,-193.6310272216797
2022-03-03 17:35:04.300 -0500,38,83113.05890850001,0.0270843505859375,-0.3779144287109375,-0.912261962890625,83113.05890850001,-0.1069629341363907,-0.02746091969311237,-0.02179637551307678,83113.0177465,-99.10737609863281,28.20283508300781,-193.6310272216797
2022-03-03 17:35:04.311 -0500,39,83113.06891450001,0.0269012451171875,-0.373779296875,-0.91546630859375,83113.06891450001,-0.1092162355780602,-0.02501054480671883,-0.02548405528068542,83113.0177465,-99.10737609863281,28.20283508300781,-193.6310272216797
2022-03-03 17:35:04.321 -0500,40,83113.0789205,0.025634765625,-0.37432861328125,-0.917449951171875,83113.0789205,-0.09444261342287064,-0.01967596635222435,-0.02457085624337196,83113.0177465,-99.10737609863281,28.20283508300781,-193.6310272216797
2022-03-03 17:35:04.331 -0500,41,83113.08892550001,0.023345947265625,-0.3774871826171875,-0.9201812744140625,83113.08892550001,-0.07056018710136414,-0.0216139480471611,-0.01394404470920563,83113.08830050001,-98.89289855957031,28.41502380371094,-193.5387115478516
2022-03-03 17:35:04.352 -0500,42,83113.0989315,0.024627685546875,-0.3800048828125,-0.9216766357421875,83113.0989315,-0.0456862635910511,-0.01842720992863178,-0.004518585279583931,83113.08830050001,-98.89289855957031,28.41502380371094,-193.5387115478516
2022-03-03 17:35:04.352 -0500,43,83113.1089375,0.028167724609375,-0.381378173828125,-0.9255828857421875,83113.1089375,-0.02832644619047642,-0.01351687405258417,0.008420648984611034,83113.08830050001,-98.89289855957031,28.41502380371094,-193.5387115478516
2022-03-03 17:35:04.361 -0500,44,83113.1189435,0.0280609130859375,-0.3841400146484375,-0.931793212890625,83113.1189435,-0.02281663194298744,-0.01135891489684582,0.01113600842654705,83113.08830050001,-98.89289855957031,28.41502380371094,-193.5387115478516
2022-03-03 17:35:04.371 -0500,45,83113.1289485,0.027679443359375,-0.3829193115234375,-0.9344482421875,83113.1289485,-0.02677915059030056,-0.01549507025629282,0.005360410548746586,83113.08830050001,-98.89289855957031,28.41502380371094,-193.5387115478516
2022-03-03 17:35:04.381 -0500,46,83113.1389545,0.03216552734375,-0.3776397705078125,-0.9332733154296875,83113.1389545,-0.03128495067358017,-0.0185523796826601,0.001835983246564865,83113.08830050001,-98.89289855957031,28.41502380371094,-193.5387115478516
