loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2021-11-22 14:58:36.261 -0500,1637611116.030508,33.99223093055138,-81.03089569656227,98.82301,-1,-1,2.235551118850708,35,-9999,546.7291201666667,0.0022430419921875,-0.0329742431640625,-0.9899444580078125,546.7241501666667,-0.0437256610448007,0.002823445210716214,0.01106700479334124,0.01940890960395336,0.009320927783846855,0.03279957175254822,0.01078767143189907,-0.02999469637870789,0.02328073978424072,XArbitraryZVertical,0.005563007781191505,0.001290395544496645,-0.0218529234341304,0.9997448458128041,0.0028232685290277,-0.01106677856296301,-0.9999347925186157,0,0,0,-1,-1,515.3492283750001,unknown,2,2021-11-22 14:58:04.902 -0500,,,,,,,,,,659303915.4523648,0,0.08000004,100.2125,1,0.21
2021-11-22 14:58:36.271 -0500,,,,,,,,,,546.7390611666667,-0.0003509521484375,-0.0224609375,-1.004379272460938,546.7340911666666,-0.04346411536508855,0.002767191054065358,0.01100972471535318,-0.03871005401015282,-0.02871353924274445,0.02230805158615112,-0.0005238773301243782,-0.02196481451392174,0.009991109371185303,XArbitraryZVertical,0.005533594899104968,0.001263625552348223,-0.02172238213666251,0.9997479405786859,0.002767019905149937,-0.01100950222462416,-0.9999355673789978,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.21
2021-11-22 14:58:36.281 -0500,,,,,,,,,,546.7490021666667,-0.004486083984375,-0.0154571533203125,-0.9996795654296875,546.7440321666667,-0.04331613326854834,0.002235696651096027,0.01041415256023739,-0.07560654729604721,-0.07374812662601471,0.007268914487212896,-0.002586425514891744,-0.01204704493284225,-0.004435956478118896,XArbitraryZVertical,0.005230036193683912,0.001004804921063667,-0.02165024572247412,0.9997514813597069,0.002235573483631015,-0.01041396427899599,-0.9999432563781738,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.21
2021-11-22 14:58:36.294 -0500,,,,,,,,,,546.7589431666667,-0.0185546875,-0.00262451171875,-1.0091552734375,546.7539731666667,-0.04330997796993482,0.001596059522738192,0.009737103177971964,-0.0474790446460247,-0.05248811095952988,-0.009323378093540668,-0.006081966683268547,-0.005720276385545731,0.0002717971801757812,XArbitraryZVertical,0.004884668850681618,0.0006924133495287165,-0.02164914762209669,0.9997535074057744,0.001595983165316284,-0.009736949577927589,-0.9999513030052185,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.21
2021-11-22 14:58:36.300 -0500,,,,,,,,,,546.7688841666667,-0.0208740234375,0.00537109375,-1.021926879882812,546.7639141666667,-0.04355589037617422,0.001260314730021608,0.009649383771081432,0.02945275418460369,-0.02246636338531971,-0.03945092111825943,-0.01981484331190586,0.007024649530649185,-0.00920259952545166,XArbitraryZVertical,0.004837250599807452,0.000524937431410981,-0.0217729271996186,0.999751064973791,0.001260255696251988,-0.009649233892560005,-0.9999526739120483,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.21
2021-11-22 14:58:36.310 -0500,,,,,,,,,,546.7788251666667,-0.011627197265625,-0.007965087890625,-1.019088745117188,546.7738551666667,-0.04403156565260112,0.001030893642358607,0.01018936965590884,0.07628710567951202,-0.02730505913496017,-0.05748850852251053,-0.02190476283431053,0.01556021347641945,-0.02197933197021484,XArbitraryZVertical,0.005104774317894942,0.0004031612820825979,-0.0220110900836497,0.9997446257373297,0.00103083997964859,-0.01018919330090284,-0.9999475479125977,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.21
2021-11-22 14:58:36.320 -0500,,,,,,,,,,546.7887671666667,-0.0072784423828125,-0.016845703125,-1.008499145507812,546.7837961666667,-0.04470224628695941,0.0006601874641896604,0.01099861504423913,0.07736462354660034,-0.04255109280347824,-0.07669802010059357,-0.01228724420070648,0.003033232875168324,-0.01914942264556885,XArbitraryZVertical,0.005505283250161801,0.0002071014463298663,-0.02234710858169461,0.9997350756402872,0.0006601474597118795,-0.01099839340895414,-0.9999393224716187,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.21
2021-11-22 14:58:36.330 -0500,,,,,,,,,,546.7987081666668,0.003204345703125,-0.0277252197265625,-0.9989776611328125,546.7937371666667,-0.04548525688729394,0.0002373311366080009,0.01172717214515892,0.06400966644287109,-0.04693279042840004,-0.0752284899353981,-0.007515656296163797,-0.005118872970342636,-0.008567929267883301,XArbitraryZVertical,0.005864734461412779,-1.470825142185292e-05,-0.02273958076564694,0.999724242043536,0.0002373148163314909,-0.01172690372914076,-0.9999312162399292,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.21
2021-11-22 14:58:36.340 -0500,,,,,,,,,,546.8086491666667,0.0139007568359375,-0.0413818359375,-0.980255126953125,546.8036781666667,-0.04604175713879162,-0.0001349349880948736,0.01241340490881561,0.06612661480903625,-0.03058440983295441,-0.03646045923233032,0.003339371178299189,-0.01531220506876707,0.0009453296661376953,XArbitraryZVertical,0.006203464817220102,-0.0002103185071854941,-0.02301881969897105,0.9997157964770251,-0.0001349245867459103,-0.01241308636963367,-0.9999229311943054,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.21
2021-11-22 14:58:36.350 -0500,,,,,,,,,,546.8185901666667,0.01025390625,-0.0318450927734375,-0.981597900390625,546.8136191666667,-0.04631657029313814,-0.0003709508035263466,0.01274499251273132,-0.003975242841988802,-0.02222714386880398,-0.02711542509496212,0.01427177805453539,-0.02863726019859314,0.01966363191604614,XArbitraryZVertical,0.006366449871252384,-0.0003329838344204676,-0.02315692768867268,0.9997114537416224,-0.0003709206648636609,-0.01274464745074511,-0.9999186992645264,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.21
