acc_t,acc_x,acc_y,acc_z,gyr_t,yaw,roll,pitch,gyr_x,gyr_y,gyr_z,acc_x_2,acc_y_2,acc_z_2,quat_x,quat_y,quat_z,quat_w
15723.05153825,0.0249786376953125,-0.0255126953125,-1.023223876953125,15723.04159725,0.0192197751156641,0.0284650068050178,0.0330670772106656,0.0860323682427406,0.038961187005043,0.0279086120426654,-0.0201143138110637,-0.010228157043457,0.0173590183258056,0.0163935995578622,0.0143882797094258,0.0098427367566205,0.9997136756778188
15723.06147825,0.03375244140625,-0.037841796875,-1.024490356445312,15723.05153825,0.0193628666821614,0.0287281081047545,0.0338834288259978,0.0549831055104732,0.0436576753854751,0.0013654204085469,-0.0126554332673549,0.0071893036365509,-0.0295050144195556,0.0167993238717224,0.0145248177300962,0.0099222138991716,0.999704191628354
15723.07141825,0.035400390625,-0.042999267578125,-1.009353637695312,15723.06147825,0.0191933897864937,0.028977633151628,0.0341882256960141,0.0183459986001253,-0.0031963186338543,-0.0291277728974819,-0.0039780177175998,0.0086688473820686,-0.0242277979850769,0.0169516807761376,0.0146495442197072,0.0098417791374835,0.9997005993372414
15723.08135825,0.0364532470703125,-0.049530029296875,-0.99932861328125,15723.07141825,0.0188172104003075,0.0288034691152997,0.0341969055101923,-0.0169653873890638,-0.0387870706617832,-0.0411205179989337,0.004969784989953,-0.0036515779793262,-0.0254895687103271,0.0169596155251182,0.0145593394633574,0.0096523311641166,0.9997036070532852
15723.09129925,0.0351409912109375,-0.052734375,-1.0009765625,15723.08135825,0.0184225342946568,0.0283725315211647,0.0338684966772448,-0.0273610353469848,-0.0592305250465869,-0.0322129130363464,0.0070479270070791,-0.0091372691094875,-0.0103293657302856,0.0168003681110458,0.014339114634753,0.0094490933918658,0.9997113934807466
15723.10123925,0.1159820556640625,-0.0727386474609375,-1.004638671875,15723.09129925,0.0182549894082671,0.0278905282792854,0.0335928159436619,0.0084840469062328,-0.0430307835340499,-0.0011284966021776,0.0085820574313402,-0.0159435532987117,-0.0002814531326293,0.0166660234263562,0.0140955486624082,0.0093593947246043,0.9997179806628024
15723.11117925,0.030242919921875,-0.0252685546875,-0.970703125,15723.10123925,0.0170217363142025,0.0274761127006874,0.0337265428321437,0.036426730453968,-0.1773322373628616,-0.15362948179245,0.0076839495450258,-0.0190142504870891,-0.0019224882125854,0.016743368226439,0.013878671652435,0.0087403936849865,0.9997253467353804
15723.12111925,0.0110015869140625,-0.036834716796875,-0.9889678955078124,15723.11117925,0.016798385472757,0.0272030236991753,0.0341380687891526,0.0040948907844722,-0.0278918780386447,0.0496586486697197,0.0887982249259948,-0.0386072285473346,-0.0055910348892211,0.0169518055399769,0.0137419765102623,0.0086292322560764,0.9997245687700772
15723.13105925,0.0242919921875,-0.0292816162109375,-0.9850616455078124,15723.12111925,0.0170302642327027,0.0267922679669705,0.0344457183500652,0.0407948493957519,0.0184903349727392,-0.0116534428671002,0.0034697391092777,0.0091703310608863,0.0283450484275817,0.0171057913600549,0.0135398948800091,0.0087436962376314,0.9997236869804664
15723.14100025,0.0151824951171875,-0.0311279296875,-0.9977569580078124,15723.13105925,0.0170572394693337,0.0266051833427515,0.0344388731487556,-0.0030999053269624,-0.0179683398455381,0.0129277994856238,-0.0155846923589706,-0.0024026744067668,0.0100854635238647,0.0171030061851253,0.0134465806911868,0.0087555349920989,0.9997248887993452
15723.15094025,0.020782470703125,-0.031890869140625,-0.9906768798828124,15723.14100025,0.0169926866091834,0.0263995514868606,0.0344294864670702,0.0238350387662649,-0.01725441403687,-0.018422931432724,-0.0020888578146696,0.005141045898199,0.0139974951744079,0.0170996450788053,0.0133432022393853,0.0087214477208172,0.999726619245094
15723.16088025,0.019378662109375,-0.034515380859375,-0.994842529296875,15723.15094025,0.0168958672291846,0.0263677231932941,0.034638403621096,0.008954893797636,-0.0128506114706397,-0.0075399237684905,-0.0111663658171892,0.0035035237669944,0.0012958049774169,0.0172048582156272,0.0133273221145024,0.0086741400916824,0.9997255092578152
15723.17082025,0.022064208984375,-0.03448486328125,-1.002761840820312,15723.16088025,0.0167875799436812,0.026310204791018,0.0347673814407101,-0.0149986427277326,-0.0321784690022468,-0.0135087333619594,-0.0055088084191083,0.0028694868087768,0.0083729028701782,0.0172702984262283,0.0132981651069357,0.0086203548711682,0.9997252771137348
15723.18076125,0.023529052734375,-0.032379150390625,-1.009796142578125,15723.17082025,0.0166265949068692,0.0260935408583875,0.0348331165455961,-0.0281045921146869,-0.0500322990119457,-0.0179865732789039,-0.0066960994154214,0.0003106668591499,0.0042106509208679,0.0173051522890928,0.0131887381084473,0.0085384371985513,0.9997268405082234
15723.19070125,0.0228729248046875,-0.034454345703125,-1.012313842773438,15723.18076125,0.0164085128362452,0.0258186768263317,0.034788864526449,-0.040080826729536,-0.0415074527263641,-0.0326933488249778,-0.0037359874695539,0.0002969652414321,-0.0036999583244323,0.0172856300081842,0.0130492810088472,0.0084267657194798,0.9997298673976046
15723.20064125,0.02728271484375,-0.04644775390625,-0.995758056640625,15723.19070125,0.0159636785263621,0.0271794912588976,0.0352464550017677,-0.0106329228729009,-0.0373899415135383,-0.043583545833826,-0.0036302246153354,0.0028599873185157,-0.0107862949371337,0.0175116763416522,0.0137274278397727,0.0082192456401137,0.9997186653247984
15723.21058125,0.0228271484375,-0.0469512939453125,-0.9871826171875,15723.20064125,0.0155780959471479,0.0269141101856299,0.035027795935009,0.003737760707736,-0.0366678610444068,-0.0287003368139267,-0.0040214378386735,0.000566266477108,-0.0132891535758972,0.0174060889166701,0.0135905733610308,0.0080227289749587,0.9997239097130182
15723.22052225,0.02520751953125,-0.04168701171875,-1.001388549804688,15723.21058125,0.0154786172560395,0.026373606463775,0.0352188930234807,0.0267037972807884,0.0012329164892435,0.0042493576183915,0.0009285099804401,-0.0112361647188663,0.0032742619514465,0.0175044418252078,0.0133202469143636,0.0079695455944771,0.9997262537335871
15723.23046225,0.0294647216796875,-0.0416717529296875,-1.006423950195312,15723.22052225,0.0156286334167742,0.0265893359348204,0.0355094582255931,0.0552145354449749,0.047105137258768,0.0235942937433719,-0.0037423036992549,-0.0114493146538734,0.0118337869644165,0.0176478174197353,0.0134304955375022,0.0080483319321498,0.9997216438725104
15723.24040225,0.0300140380859375,-0.0477447509765625,-1.018692016601562,15723.23046225,0.0158738002865499,0.0267737015321895,0.0359731041196873,0.0510437563061714,0.0365401096642017,0.0228291675448417,-0.0015456732362508,-0.0057216919958591,-0.0023936629295349,0.0178771747832055,0.0135265988750182,0.0081755770744791,0.9997153064547086
15723.25034225,0.0233917236328125,-0.0409393310546875,-1.019546508789062,15723.24040225,0.0160217899230452,0.0267737414326576,0.0363188482308822,0.0343944728374481,-0.0107258735224604,0.0105338841676712,0.0027118232101202,-0.005360908806324,-0.0074415206909179,0.0180489971128417,0.0135292845265842,0.0082518399822981,0.9997115380111388
