loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2022-01-24 19:34:26.213 -0500,1643070865.782276,34.01176451999999,-80.98429106999997,61.11681,-1,-1,30.53833770751953,95,-9999,4923.483342,0.0216827392578125,0.0218505859375,-0.99322509765625,4923.478374,-0.1586479678482788,0.03162805428931353,-0.05866117269852786,-0.1846984624862671,-0.05637812614440918,-0.1277973055839539,-0.02622714638710022,-0.03055155649781227,0.002327799797058105,XArbitraryZVertical,-0.02797798480691993,0.0180804198314359,-0.0796591298735823,0.9962653558443615,0.03156838938593864,0.05862753465771675,-0.9977806806564331,0,0,0,-1,-1,4916.802225625001,unknown,2,2022-01-24 19:34:19.433 -0500,,,,,,,,,,664763664.5223039,0,-0.03999996,100.5614,1,1
2022-01-24 19:34:26.223 -0500,,,,,,,,,,4923.493279,-0.011566162109375,0.03399658203125,-1.003433227539062,4923.488311,-0.1597598339111243,0.03089530282716811,-0.06039724488577689,-0.1488440483808517,-0.07454807311296463,-0.1175904721021652,-0.009150661528110504,-0.03851014375686646,0.004475235939025879,XArbitraryZVertical,-0.02886212811025023,0.01779980617044144,-0.08021401899912994,0.9962006889596583,0.03083406388759613,0.06036053225398064,-0.9977002739906311,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,1
2022-01-24 19:34:26.226 -0500,,,,,,,,,,4923.503216,-0.021453857421875,0.0465545654296875,-1.006881713867188,4923.498248,-0.1609883174612352,0.03001820746780629,-0.06151965553913302,-0.05926676839590073,-0.08257697522640228,-0.1331936568021774,-0.04152241721749306,-0.0274844691157341,-0.005774617195129395,XArbitraryZVertical,-0.02944571733603295,0.01742551167391339,-0.0808202644810434,0.9961412731498147,0.02995692193508148,0.06148085743188858,-0.9976586103439331,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,1
2022-01-24 19:34:26.227 -0500,,,,,,,,,,4923.513153,-0.020294189453125,0.0420684814453125,-1.018173217773438,4923.508185000001,-0.1624022232720072,0.02903767068530702,-0.06159253059821779,0.04734143614768982,-0.1039493754506111,-0.1553229242563248,-0.05043172463774681,-0.01499922201037407,-0.009198665618896484,XArbitraryZVertical,-0.02950965553187098,0.01696091233437227,-0.08151046966911245,0.9960911056261212,0.02897853590548038,0.06155359372496605,-0.9976829886436462,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,1
2022-01-24 19:34:26.228 -0500,,,,,,,,,,4923.523090000001,-0.0128021240234375,0.0316925048828125,-1.018905639648438,4923.518121,-0.1640595856869663,0.02776694654827861,-0.06087131971870827,0.10450778901577,-0.1331215649843216,-0.1734507977962494,-0.04800548031926155,-0.01876544579863548,-0.02041006088256836,XArbitraryZVertical,-0.02918869745082467,0.0163231459977372,-0.08231305162545488,0.9960451232937783,0.02771195769309998,0.06083373725414276,-0.9977631568908691,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,1
2022-01-24 19:34:26.229 -0500,,,,,,,,,,4923.533027,-0.0257110595703125,0.028594970703125,-1.007522583007812,4923.528058,-0.1658809537020949,0.02601813279573095,-0.05995252055491537,0.07394535094499588,-0.1958206444978714,-0.1896739900112152,-0.0387699156999588,-0.02822430059313774,-0.02104008197784424,XArbitraryZVertical,-0.0287889885768837,0.01544097240627381,-0.08318975214257186,0.9959980170259594,0.02596845850348473,0.05991661176085472,-0.9978655576705933,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,1
2022-01-24 19:34:26.231 -0500,,,,,,,,,,4923.542964,-0.0304718017578125,0.042205810546875,-1.000747680664062,4923.537995000001,-0.1679803967936239,0.0237034580833127,-0.05981106296441765,-0.03478539362549782,-0.2408979833126068,-0.2289284616708755,-0.04936925321817398,-0.03118062764406204,-0.009591102600097656,XArbitraryZVertical,-0.02879978598277423,0.01431266288398945,-0.08420120619393862,0.9959296474688039,0.02365885674953461,0.05977540835738182,-0.9979314208030701,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,1
2022-01-24 19:34:26.232 -0500,,,,,,,,,,4923.552901,-0.0318450927734375,0.053466796875,-1.0084228515625,4923.547932,-0.1702652797946467,0.02095765400958571,-0.06064250208225857,-0.131692498922348,-0.2893856167793274,-0.2172169387340546,-0.05138873308897018,-0.01839971542358398,-0.002805054187774658,XArbitraryZVertical,-0.02931456581034639,0.01301356188822501,-0.08530262100179099,0.9958386981809743,0.02091759815812111,0.06060533970594406,-0.9979426264762878,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,1
2022-01-24 19:34:26.233 -0500,,,,,,,,,,4923.562837750001,-0.0683135986328125,0.079071044921875,-0.993621826171875,4923.557869,-0.1723162050878813,0.01792628037992891,-0.06238928131364389,-0.1863424330949783,-0.2531335949897766,-0.2088149189949036,-0.04973486810922623,-0.008882209658622742,-0.01052874326705933,XArbitraryZVertical,-0.03030173572548289,0.01160923346026506,-0.08628474510710454,0.9957418940807253,0.01789044588804245,0.06234881654381752,-0.9978940486907959,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,1
2022-01-24 19:34:26.234 -0500,,,,,,,,,,4923.57277375,-0.0761871337890625,0.0765380859375,-0.990447998046875,4923.56780575,-0.1745610300897466,0.0159974806158959,-0.06428183573746607,-0.1879349946975708,-0.1101151928305626,-0.2473556697368622,-0.08427669107913971,0.01483328640460968,0.004185140132904053,XArbitraryZVertical,-0.03131515862986764,0.01076523781940139,-0.08737800432284973,0.9956245985365776,0.01596375927329063,0.0642375722527504,-0.9978069663047791,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,1
