time_acc,acc_x,acc_y,acc_z,time_gyr,gyr_x,gyr_y,gyr_z,time_mag,mag_x,mag_y,mag_z
106535.063286375,0.00311279296875,0.000686645507813,-1.00001525878906,106535.063286375,-0.003300721757114,-0.015522234141827,0.004169977735728,106535.064143375,-100.811981201172,-2.43203735351562,-196.300445556641
106535.073292375,0.002548217773438,-0.000289916992188,-1.00120544433594,106535.073292375,-0.003432814730331,-0.012426842004061,0.004250404890627,106535.074221375,-100.859298706055,-2.61578369140625,-196.049530029297
106535.083298375,0.001785278320313,0.000564575195313,-1.00053405761719,106535.083298375,-0.00389194348827,-0.014493455179036,0.007063501980156,106535.084298375,-100.775054931641,-2.39555358886719,-195.972717285156
106535.093304375,0.002166748046875,0.001907348632813,-1.00077819824219,106535.093304375,-0.003389937803149,-0.012349077500403,0.004379568155855,106535.094376375,-100.622039794922,-2.3857421875,-196.450088500977
106535.103310375,0.003189086914063,0.001739501953125,-1.00035095214844,106535.103310375,-0.004379568155855,-0.012407933361828,0.008060056716204,106535.104454375,-100.790908813477,-2.3790283203125,-196.228317260742
106535.113315375,0.003265380859375,0.001922607421875,-1.00082397460938,106535.113315375,-0.004677842371166,-0.0120052639395,0.004657602403313,106535.114534375,-100.496368408203,-2.50442504882812,-196.035339355469
106535.123321375,0.00360107421875,0.001556396484375,-1.00135803222656,106535.123321375,-0.00216568261385,-0.0123789049685,0.00557452859357,106535.124613375,-100.378509521484,-2.73335266113281,-195.865417480469
106535.133327375,0.002182006835938,0.000869750976563,-0.99957275390625,106535.133327375,-0.001983788795769,-0.013009008951485,0.007996673695743,106535.134692375,-100.817443847656,-2.627197265625,-196.115112304688
106535.143333375,0.001724243164063,0.000503540039063,-0.999649047851562,106535.143333375,-0.00284612015821,-0.012809271924198,0.004767058417201,106535.144771375,-100.951202392578,-2.53970336914062,-196.124450683594
106535.153339375,0.002182006835938,0.000625610351563,-0.999740600585938,106535.153339375,-0.004334561061114,-0.012129900045693,0.003951864782721,106535.154848375,-100.887283325195,-2.67288208007812,-196.072692871094
106535.163345375,0.002960205078125,0.000396728515625,-1.00123596191406,106535.163345375,-0.00273613166064,-0.013006879016757,0.003763845423236,106535.164927375,-100.51318359375,-2.70173645019531,-196.473663330078
106535.173350375,0.003005981445313,0.000259399414063,-1.00035095214844,106535.173350375,-0.002296177437529,-0.014702779240906,0.006496515125036,106535.175005375,-100.753036499023,-2.91522216796875,-196.553482055664
106535.183356375,0.003662109375,0.000869750976563,-1.00007629394531,106535.183356375,-0.004679174162447,-0.011880627833307,0.005373992491514,106535.185084375,-100.631988525391,-2.91632080078125,-196.208236694336
106535.193362375,0.004135131835938,0.0018310546875,-0.999923706054688,106535.193362375,-0.002505501965061,-0.012677978724241,0.002544117858633,106535.195162375,-100.405487060547,-2.71467590332031,-196.057022094727
106535.203368375,0.003738403320313,0.001541137695313,-1.00041198730469,106535.203368375,-0.002411492401734,-0.011292069219053,0.005851497408003,106535.205241375,-100.707305908203,-2.50740051269531,-196.12629699707
106535.213374375,0.002944946289063,0.0003662109375,-0.998977661132812,106535.213374375,-0.004208327271044,-0.011844675056636,0.003285009181127,106535.215319375,-100.828948974609,-2.53134155273437,-196.631057739258
106535.223380375,0.002822875976563,0.001434326171875,-0.999649047851562,106535.223380375,-0.002995257265866,-0.013919809833169,0.004422445315868,106535.225397375,-100.615081787109,-2.95809936523437,-196.759170532227
106535.233385375,0.002761840820313,0.000656127929688,-1.00065612792969,106535.223380375,-0.002995257265866,-0.013919809833169,0.004422445315868,106535.235480375,-100.581192016602,-2.54826354980469,-196.172210693359
106535.243391375,0.002716064453125,0.000762939453125,-0.999740600585938,106535.243391375,-0.004280232358724,-0.013803163543344,0.006405168678612,106535.245551375,-100.595611572266,-2.8240966796875,-196.131057739258
106535.253397375,0.002960205078125,3.0517578125E-05,-0.999359130859375,106535.253397375,-0.000691622903105,-0.013158146291971,0.003947070799768,106535.255628375,-100.594711303711,-2.52984619140625,-196.301895141602
106535.263403375,0.002700805664063,0.00079345703125,-1.00015258789063,106535.263403375,-0.003052515210584,-0.012554408051074,0.005665875039995,106535.265706375,-100.861953735352,-2.72061157226562,-196.088623046875
106535.273409375,0.003311157226563,0.00042724609375,-1.00035095214844,106535.273409375,-0.003382480936125,-0.012446283362806,0.006545250769705,106535.275782375,-100.9951171875,-2.80999755859375,-196.757446289063
106535.283415375,0.002349853515625,0.001510620117188,-1.00027465820313,106535.283415375,-0.00260989787057,-0.012250807136297,0.007705590222031,106535.285860375,-100.771377563477,-2.36074829101562,-196.383743286133
106535.293420375,0.00201416015625,0.002365112304688,-1.00044250488281,106535.293420375,-0.002651975722983,-0.014782940968871,0.007397995330393,106535.295937375,-100.702331542969,-2.83807373046875,-195.951965332031
106535.303426375,0.003265380859375,0.001358032226563,-1.00054931640625,106535.303426375,-0.005007808096707,-0.012776249088347,0.004858138505369,106535.306015375,-100.78434753418,-2.531494140625,-196.265655517578
106535.313432375,0.003021240234375,3.0517578125E-05,-0.999862670898438,106535.313432375,-0.00394627219066,-0.015045794658363,0.007275755982846,106535.316092375,-100.709442138672,-2.69615173339844,-196.366073608398
106535.323438375,0.002609252929688,0.00054931640625,-0.999954223632812,106535.323438375,-0.001826395862736,-0.014130999334157,0.005136971361935,106535.326170375,-100.454925537109,-2.64266967773437,-196.132247924805
106535.333444375,0.002593994140625,0.000595092773438,-1.00106811523438,106535.333444375,-0.003544401144609,-0.011600996367633,0.006092779804021,106535.336249375,-100.444915771484,-2.70417785644531,-195.752014160156
106535.343449375,0.003021240234375,0.000473022460938,-1.00137329101563,106535.343449375,-0.004694886505604,-0.013299027457833,0.004780374001712,106535.346327375,-100.561813354492,-2.73826599121094,-195.925216674805
106535.353455375,0.00347900390625,0.000640869140625,-1.00027465820313,106535.353455375,-0.004463724326342,-0.013115002773702,0.005952431354672,106535.356405375,-100.904998779297,-2.76022338867187,-196.543441772461
106535.363461375,0.0030517578125,0.000503540039063,-1.00173950195313,106535.363461375,-0.002552906284109,-0.010996458120644,0.004972654394805,106535.366482375,-100.782485961914,-2.85316467285156,-196.520660400391
106535.373467375,0.002853393554688,0.0023193359375,-1.00028991699219,106535.373467375,-0.000972852751147,-0.014318219386041,0.005354285240173,106535.376560375,-101.048980712891,-2.75474548339844,-196.028549194336
106535.383473875,0.002044677734375,0.002029418945313,-1.00091552734375,106535.383473875,-0.001405350049026,-0.011623100377619,0.005937517620623,106535.386636875,-100.589950561523,-2.25375366210937,-196.485260009766
106535.393479875,0.00225830078125,0.00115966796875,-1.00001525878906,106535.393479875,-0.00458729499951,-0.012328038923442,0.006629406940192,106535.396714875,-100.649444580078,-2.7432861328125,-196.223754882812
106535.403484875,0.001983642578125,0.00079345703125,-1.00047302246094,106535.403484875,-0.003094060579315,-0.013844975270331,0.005237372592092,106535.406791875,-100.803756713867,-3.01763916015625,-195.68278503418
106535.413490875,0.003509521484375,0.000259399414063,-1.00140380859375,106535.413490875,-0.00290257926099,-0.012407400645316,0.004646417219192,106535.416868875,-100.692764282227,-2.70260620117187,-196.224029541016
106535.423496875,0.002700805664063,0.000762939453125,-1.00129699707031,106535.423496875,-0.005633384454995,-0.014085724949837,0.004669853020459,106535.426945875,-100.807586669922,-2.93559265136719,-196.07373046875
106535.433502875,0.002853393554688,0.001022338867188,-1.00054931640625,106535.433502875,-0.004550010897219,-0.011746404692531,0.006560697220266,106535.426945875,-100.807586669922,-2.93559265136719,-196.07373046875
106535.443508875,0.002593994140625,-0.000289916992188,-1.00065612792969,106535.443508875,-0.003871171036735,-0.013470801524818,0.006563093978912,106535.437023875,-100.654205322266,-2.64381408691406,-196.323974609375
106535.453514875,0.003005981445313,0.001083374023438,-1.00082397460938,106535.453514875,-0.00574097642675,-0.013278787024319,0.005483714863658,106535.447099875,-101.029693603516,-2.85958862304687,-196.043197631836
106535.463519875,0.002487182617188,0.001312255859375,-1.00096130371094,106535.463519875,-0.004549478180707,-0.013120595365763,0.006851514335722,106535.457177875,-100.758728027344,-2.94432067871094,-196.039093017578
106535.473525875,0.003082275390625,0.001190185546875,-1.000732421875,106535.473525875,-0.00412896508351,-0.012664929032326,0.005318332463503,106535.467254875,-100.892532348633,-2.76448059082031,-196.443145751953
106535.483531875,0.003005981445313,0.00189208984375,-1.00041198730469,106535.483531875,-0.004479703027755,-0.013946441933513,0.005487443413585,106535.477335875,-100.853271484375,-2.90592956542969,-195.726913452148
106535.493537875,0.003067016601563,0.000762939453125,-1.00071716308594,106535.493537875,-0.006302370689809,-0.013194365426898,0.003767573973164,106535.487408875,-100.790924072266,-2.89097595214844,-196.100112915039
106535.503543875,0.003997802734375,0.001022338867188,-1.00108337402344,106535.503543875,-0.001966478070244,-0.012779710814357,0.004415254574269,106535.497485875,-100.890899658203,-2.99113464355469,-196.301116943359
106535.513549875,0.00384521484375,0.000961303710938,-1.00057983398438,106535.513549875,-0.001027713879012,-0.014848987571895,0.005848834291101,106535.507563875,-100.619735717773,-2.72564697265625,-196.110214233398
106535.523554875,0.003250122070313,0.00115966796875,-1.00117492675781,106535.523554875,-0.003580087330192,-0.014008759520948,0.006008624099195,106535.517640875,-100.848434448242,-2.8258056640625,-196.391952514648
106535.533560875,0.002273559570313,7.62939453125E-05,-1.00076293945313,106535.533560875,-0.002758235903457,-0.014287859201431,0.006558566819876,106535.527717875,-100.457824707031,-2.75209045410156,-196.168182373047
106535.543566875,0.000991821289063,0.0010986328125,-1.0008544921875,106535.543566875,-0.002886067610234,-0.012184494175017,0.005479187704623,106535.537794875,-100.508758544922,-2.72276306152344,-196.01286315918
106535.553572875,0.003005981445313,0.001556396484375,-1.0010986328125,106535.553572875,-0.00227780174464,-0.014634602703154,0.006895456463099,106535.547871875,-100.618179321289,-2.49737548828125,-196.613433837891
106535.563578875,0.002227783203125,0.001510620117188,-0.998825073242188,106535.563578875,-0.002344646956772,-0.013524064794183,0.006981476675719,106535.557949875,-100.867858886719,-2.70321655273437,-196.533294677734
106535.573584875,0.002197265625,0.001785278320313,-1.00086975097656,106535.573584875,-0.000325438275468,-0.011413242667914,0.003145992057398,106535.568025875,-100.510147094727,-2.52937316894531,-195.892028808594
106535.583589875,0.003265380859375,0.001968383789063,-1.00006103515625,106535.583589875,-0.004642422311008,-0.012866264209151,0.003597664181143,106535.578102875,-100.59538269043,-2.53010559082031,-196.060394287109
106535.593595875,0.003204345703125,0.001388549804688,-1.00025939941406,106535.593595875,-0.003855724586174,-0.010317352600396,0.007388940546662,106535.588180875,-100.753768920898,-2.57373046875,-196.005661010742
106535.603601875,0.003463745117188,-0.00030517578125,-1.00018310546875,106535.603601875,-0.004594485275447,-0.009069395251572,0.006121275946498,106535.598258875,-100.564895629883,-2.61729431152344,-196.173645019531
106535.613607875,0.004714965820313,0.000274658203125,-0.999176025390625,106535.613607875,-0.005668804515153,-0.013064669445157,0.004784635268152,106535.608336875,-100.797485351563,-2.69688415527344,-195.965530395508
106535.623613875,0.002838134765625,0.000274658203125,-1.0001220703125,106535.623613875,-0.006008624099195,-0.012201538309455,0.005337507463992,106535.618413875,-100.825485229492,-2.60302734375,-196.026519775391
106535.633619875,0.001983642578125,0.00048828125,-0.999969482421875,106535.633619875,-0.002992061432451,-0.013349627144635,0.00424880720675,106535.628490875,-100.807327270508,-2.38134765625,-196.091293334961
106535.643624875,0.002243041992188,0.001754760742188,-0.999710083007812,106535.643624875,-0.004469583276659,-0.013101687654853,0.007228618022054,106535.638568875,-100.706802368164,-2.83197021484375,-196.308792114258
106535.653630875,0.00238037109375,0.001983642578125,-1.00007629394531,106535.653630875,-0.001458080718294,-0.014011689461768,0.004890629090369,106535.648645875,-100.565338134766,-2.5447998046875,-196.63818359375
106535.663636875,0.003799438476563,0.001541137695313,-1.00039672851563,106535.663636875,-0.003225354477763,-0.011469169519842,0.005500493105501,106535.658723875,-101.048233032227,-2.42579650878906,-196.177719116211
106535.673642875,0.004638671875,0.001754760742188,-1.00009155273438,106535.673642875,-0.000370712019503,-0.01335362251848,0.005040831398219,106535.668802875,-100.605163574219,-2.52049255371094,-196.079635620117
106535.683648875,0.0040283203125,0.000930786132813,-1.00064086914063,106535.683648875,-0.005131112411618,-0.013953632675111,0.005265335552394,106535.678882875,-100.366973876953,-2.54115295410156,-196.218154907227
106535.693653875,0.004104614257813,0.00067138671875,-0.9998779296875,106535.693653875,-0.002040247665718,-0.01386761199683,0.006210757885128,106535.688961875,-100.620468139648,-2.76557922363281,-196.442626953125
106535.703659875,0.0032958984375,0.000503540039063,-1.00088500976563,106535.703659875,-0.003628556849435,-0.015049257315695,0.006635798607022,106535.699039875,-100.653442382813,-2.68476867675781,-196.147018432617
106535.713665875,0.001632690429688,-0.000289916992188,-1.001953125,106535.713665875,-0.001621332485229,-0.015235411934555,0.007617439609021,106535.709116875,-100.678405761719,-2.68646240234375,-195.974029541016
106535.723671875,0.001571655273438,0.000442504882813,-1,106535.723671875,-0.004129497334361,-0.016340091824532,0.003747334005311,106535.719192875,-100.678924560547,-2.51998901367187,-196.001693725586
106535.733677875,0.002716064453125,0.001022338867188,-0.999725341796875,106535.733677875,-0.005465871654451,-0.010659036226571,0.007330351043493,106535.729268875,-100.894927978516,-2.88742065429687,-196.320007324219
106535.743683875,0.002700805664063,0.00164794921875,-1.00009155273438,106535.743683875,-0.002967294072732,-0.01243110280484,0.005628324579448,106535.739345875,-100.585342407227,-2.75302124023437,-196.347213745117
106535.753688875,0.003097534179688,0.002578735351563,-0.999710083007812,106535.753688875,-0.005632319487631,-0.011129616759718,0.005412874743342,106535.749421875,-100.99609375,-2.59762573242187,-196.827377319336
106535.763694875,0.003402709960938,0.002197265625,-1.00048828125,106535.763694875,-0.003382214577869,-0.015066035091877,0.004009655211121,106535.759498875,-100.838684082031,-2.48681640625,-196.51042175293
106535.773700875,0.005081176757813,0.001129150390625,-1.00143432617188,106535.773700875,-0.002210689941421,-0.012272911146283,0.006790528073907,106535.769574875,-100.664260864258,-2.9354248046875,-196.816818237305
106535.783706875,0.003936767578125,-0.000213623046875,-0.999893188476562,106535.783706875,-0.004704474005848,-0.011991947889328,0.006600910797715,106535.779651875,-100.797927856445,-2.88258361816406,-195.953048706055
106535.793712875,0.002410888671875,-0.000381469726563,-0.999649047851562,106535.793712875,-0.004211256746203,-0.013419668190181,0.004253068007529,106535.789728875,-100.62385559082,-2.88417053222656,-196.333526611328
106535.803718875,0.001953125,3.0517578125E-05,-1.001220703125,106535.803718875,-0.004035487771034,-0.014201306737959,0.004258128348738,106535.799806875,-101.127563476563,-2.43109130859375,-196.069931030273
106535.813723875,0.001876831054688,0.00079345703125,-1.00009155273438,106535.813723875,-0.001835983246565,-0.013056146912277,0.005162803921849,106535.809883875,-101.162826538086,-2.84457397460937,-196.497283935547
106535.823729875,0.000534057617188,0.000869750976563,-0.999755859375,106535.823729875,-0.003432814730331,-0.011258513666689,0.004152400884777,106535.819960875,-100.92333984375,-2.63926696777344,-196.447235107422
106535.833735875,0.001312255859375,0.001663208007813,-1.00114440917969,106535.833735875,-0.005381449591368,-0.007988683879375,0.002875414909795,106535.830038875,-100.927322387695,-2.89128112792969,-196.27033996582
106535.843741875,0.003524780273438,0.002761840820313,-0.9998779296875,106535.843741875,-0.002070607617497,-0.011496067047119,0.004886900540441,106535.840114875,-100.521774291992,-2.75914001464844,-196.292434692383
106535.853747875,0.004638671875,0.002151489257813,-1.00151062011719,106535.853747875,-0.00353161781095,-0.013973872177303,0.006416620220989,106535.850191875,-100.850341796875,-2.76866149902344,-196.157150268555
106535.863753875,0.004287719726563,0.001235961914063,-1.0013427734375,106535.863753875,-0.002313221804798,-0.015022092498839,0.005005677696317,106535.860269875,-101.014511108398,-2.73329162597656,-196.097961425781
106535.873758875,0.0030517578125,0.000885009765625,-1.00080871582031,106535.873758875,-0.003630421124399,-0.011082745157182,0.005567338317633,106535.870346875,-100.754837036133,-2.689208984375,-196.576766967773
106535.883764875,0.002456665039063,-0.0003662109375,-1.00173950195313,106535.883764875,-0.004043477587402,-0.013857225887477,0.005321261938661,106535.880422875,-100.875091552734,-2.82748413085937,-196.61442565918
106535.893770875,0.002670288085938,-0.000320434570313,-1.00129699707031,106535.893770875,-0.004665325395763,-0.012831109575927,0.00465573836118,106535.890500875,-100.905715942383,-2.59396362304687,-196.488418579102
106535.903776875,0.001632690429688,0.000411987304688,-1.00088500976563,106535.903776875,-0.005128449294716,-0.012332832440734,0.004503405187279,106535.900577875,-100.89501953125,-2.80784606933594,-196.511901855469
106535.913782875,0.001556396484375,0.000747680664063,-1.00114440917969,106535.913782875,-0.00049028795911,-0.012677446007729,0.007643538527191,106535.910653875,-100.847457885742,-2.76991271972656,-196.316452026367
106535.923788875,0.002960205078125,0.001663208007813,-0.999282836914062,106535.923788875,-0.002498577814549,-0.011921374127269,0.005687713157386,106535.920730875,-100.834625244141,-2.55181884765625,-196.493057250977
106535.933793875,0.004150390625,0.0029296875,-0.999618530273438,106535.933793875,-0.004349208436906,-0.016982978209853,0.005337773822248,106535.930806875,-100.744384765625,-2.65963745117187,-196.463180541992
106535.943799875,0.003738403320313,0.002944946289063,-1.00018310546875,106535.943799875,-0.00335318618454,-0.014753912575543,0.003981159534305,106535.940884875,-100.874725341797,-2.72163391113281,-196.481307983398
106535.953805875,0.004989624023438,0.001251220703125,-0.999801635742188,106535.953805875,-0.000802144117188,-0.011672368273139,0.005164668429643,106535.950961875,-100.554870605469,-2.87298583984375,-196.60173034668
106535.963811875,0.003280639648438,-0.000381469726563,-1.00030517578125,106535.963811875,-0.001986451912671,-0.012525378726423,0.007852862589061,106535.961038875,-100.497863769531,-2.90672302246094,-195.557769775391
106535.973817875,0.00152587890625,-0.000503540039063,-1.00027465820313,106535.973817875,-0.003814711933956,-0.01327452622354,0.005038966890424,106535.971114875,-100.911514282227,-2.58988952636719,-196.044189453125
106535.983823875,0.001083374023438,0.000534057617188,-1.00115966796875,106535.983823875,-0.001426655333489,-0.012982910498977,0.006413690745831,106535.981192875,-100.753021240234,-2.75657653808594,-196.624496459961
106535.993828875,0.000961303710938,0.00067138671875,-0.999664306640625,106535.993828875,-0.002971821464598,-0.012253204360604,0.004792091902345,106535.991268875,-100.758926391602,-2.56451416015625,-196.4287109375
106536.003834875,0.00213623046875,0.0018310546875,-0.999237060546875,106536.003834875,-0.003602457931265,-0.011762117035687,0.004435760900378,106536.001345875,-100.829345703125,-2.75581359863281,-196.500610351563
106536.013840875,0.002761840820313,0.001953125,-0.999526977539062,106536.013840875,-0.003638943191618,-0.014839932322502,0.00501393340528,106536.011421875,-100.642929077148,-2.96760559082031,-196.272735595703
106536.023846875,0.003677368164063,0.002960205078125,-1.00032043457031,106536.023846875,-0.003020823700354,-0.016025038436055,0.00670077977702,106536.021498875,-100.870574951172,-3.00831604003906,-196.186950683594
106536.033852875,0.004287719726563,0.001434326171875,-1.00149536132813,106536.033852875,-0.001825863262638,-0.014471617527306,0.006769222673029,106536.031575875,-100.684814453125,-2.744140625,-196.548889160156
106536.043857875,0.00286865234375,0.000717163085938,-1.00090026855469,106536.043857875,-0.004118578508496,-0.012741361744702,0.004169178660959,106536.041652875,-100.910598754883,-2.5711669921875,-196.808090209961
106536.053863875,0.002456665039063,0.000244140625,-0.99957275390625,106536.053863875,-0.003302053315565,-0.014112357050181,0.004557733889669,106536.051729875,-100.87060546875,-2.83999633789062,-195.864562988281
106536.063869875,0.001251220703125,-0.000930786132813,-1.00120544433594,106536.063869875,-0.00570928491652,-0.010277937166393,0.005784918554127,106536.061805875,-100.50016784668,-2.65425109863281,-196.360931396484
106536.073875875,0.00201416015625,-0.00103759765625,-1.00051879882813,106536.073875875,-0.00192200334277,-0.012212724424899,0.006642988882959,106536.071882875,-100.882339477539,-2.75045776367187,-196.380477905273
106536.083881875,0.001235961914063,0.00030517578125,-1.00137329101563,106536.083881875,-0.002338255522773,-0.015083079226315,0.005134308245033,106536.081958875,-100.774200439453,-2.97857666015625,-196.402389526367
106536.093887875,0.002487182617188,0.001220703125,-1.00149536132813,106536.093887875,-0.003402454545721,-0.014369618147612,0.005905027035624,106536.092035875,-100.447204589844,-2.55638122558594,-196.398101806641
