loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2022-02-17 15:13:18.414 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3267.23800525,-0.00201416015625,0.04217529296875,-1.0211181640625,3267.19328425,-0.07969691776030283,0.00362168114477455,-0.02073986814515795,-0.0006853183731436729,-0.005828368477523327,-0.0002467664889991283,0.0001326468773186207,5.838647484779358e-05,-0.001411795616149902,XArbitraryZVertical,-0.01028936168071173,0.002222412812399043,-0.0398544641309623,0.9991501816742899,0.003620894392952323,0.0207383818924427,-0.9997783899307251,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
2022-02-17 15:13:18.497 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3267.33738325,0.00469970703125,0.0236663818359375,-1.002227783203125,3267.29266325,-0.07987417518998133,0.004709488085275857,-0.02118272089278526,0.001133088022470474,0.01714043132960796,0.004208036232739687,-0.0004665912128984928,-0.0009947177022695541,-0.003775477409362793,XArbitraryZVertical,-0.01048867566462446,0.002775598506927436,-0.03994903767754465,0.9991429079467996,0.00470841396600008,0.0211811363697052,-0.9997645616531372,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
2022-02-17 15:13:18.596 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3267.43676225,0.0063629150390625,0.0217437744140625,-1.004058837890625,3267.39204125,-0.0795556708715051,0.005571551721310145,-0.02094318073897499,-0.002423829864710569,-0.0002176221460103989,0.0001055696047842503,-0.0002756216563284397,0.0001145191490650177,-0.002432107925415039,XArbitraryZVertical,-0.01035229822741117,0.003199834042607211,-0.03979415864668821,0.9991491698667032,0.005570300854742527,0.02094165049493313,-0.999765157699585,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
2022-02-17 15:13:18.696 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3267.536138666667,0.0057373046875,0.02191162109375,-1.002212524414062,3267.491418666667,-0.07903822477879628,0.006370982863782067,-0.02124520079539007,-0.0008674790151417255,0.0006971396505832672,0.0116491736844182,0.000191656406968832,0.002040350809693336,-0.004625260829925537,XArbitraryZVertical,-0.0104882046314337,0.003602495461899825,-0.03954020557408604,0.9991565070073327,0.006369501817971468,0.02124360203742981,-0.999754011631012,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
2022-02-17 15:13:18.796 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3267.635516666667,0.00640869140625,0.0242767333984375,-1.004501342773438,3267.590796666667,-0.07837699861599494,0.006110236551315653,-0.02203788190569206,-0.01780331879854202,-0.01729024760425091,-0.003813404822722077,0.0003914078697562218,0.0002407748252153397,-0.004884898662567139,XArbitraryZVertical,-0.01089051818958591,0.003484276593428051,-0.03920954163282597,0.9991656936782586,0.006108714733272791,0.02203609794378281,-0.9997385144233704,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
2022-02-17 15:13:18.895 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3267.734895666667,0.00701904296875,0.0245361328125,-1.00634765625,3267.690175666667,-0.07864338944311444,0.006544549611209292,-0.02347236819807734,-0.009931547567248344,0.002831298857927322,0.0006840084679424763,-0.0003935289569199085,0.000988667830824852,-0.005072891712188721,XArbitraryZVertical,-0.01159815025360615,0.003730868728776136,-0.03934701566449164,0.9991513858563585,0.006542700342833996,0.02347021363675594,-0.9997031092643738,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
2022-02-17 15:13:18.994 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3267.834273666667,0.00579833984375,0.02447509765625,-1.001678466796875,3267.789553666667,-0.07872899097270927,0.006532787036002626,-0.02442530083894639,-0.007039887364953756,-0.01109280623495579,0.0005395319312810898,0.001037446316331625,0.0001428201794624329,-0.00407332181930542,XArbitraryZVertical,-0.01207428306862299,0.003744219636287561,-0.03939104102426282,0.9991439941252456,0.006530791986733675,0.02442287281155586,-0.9996803998947144,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
2022-02-17 15:13:19.094 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3267.933652666667,0.0055999755859375,0.025238037109375,-1.0048828125,3267.888931666667,-0.07854379701699733,0.006051235206967682,-0.02507559930713952,-0.01272893138229847,-0.01175456773489714,-0.003082766430452466,-0.0008309110999107361,0.0006523896008729935,-0.00372016429901123,XArbitraryZVertical,-0.01240896456420615,0.003515283736325544,-0.03929644114648438,0.9991444136042021,0.006049295887351036,0.0250729713588953,-0.9996673464775085,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
2022-02-17 15:13:19.193 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3268.033030666667,0.0065155029296875,0.028106689453125,-1.00592041015625,3267.988310666667,-0.07894009274400238,0.006200237136258619,-0.02595225228735659,-0.01109641417860985,0.009958282113075256,-0.006998012773692608,0.00161426980048418,-0.001383645460009575,-0.004948854446411133,XArbitraryZVertical,-0.01284327265808601,0.003609456292939285,-0.03949647776805776,0.9991307598931455,0.006198109593242407,0.02594933845102787,-0.9996440410614014,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
2022-02-17 15:13:19.292 -0500,1645128795.125436,34.01174545004118,-80.98436736994461,63.74554,-1,-1,188.5055694580078,124.3333333333333,-9999,3268.132409666667,0.0053863525390625,0.0260772705078125,-1.00201416015625,3268.087688666667,-0.0789271837748026,0.00570852265668022,-0.02607274877832245,0.00546711590141058,-0.008908681571483612,0.01347716897726059,0.001892204396426678,0.0001285877078771591,-0.004430294036865234,XArbitraryZVertical,-0.01291320085970332,0.003366104405550069,-0.03948701193380486,0.9991310581367251,0.005706551484763622,0.02606979571282864,-0.999643862247467,0,0,0,-1,-1,3263.84077125,unknown,2,2022-02-17 15:13:15.000 -0500,666821597.5420191,0,4.699999,100.947,1,1
