loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2021-12-13 16:05:39.690 -0500,1639429539.585947,33.99212653134514,-81.03121317165193,70.77635,-1,-1,23.53884887695312,35,-9999,16214.080037625,-0.0247650146484375,-0.036041259765625,-0.997711181640625,16214.075067625,0.2527365224953997,-0.01739600771977005,0.01596026088734944,-0.009728069417178631,0.005363063886761665,-0.02120373398065567,-0.0001547057181596756,-0.02322500944137573,0.003322422504425049,XArbitraryZVertical,0.009012294660742807,-0.007622559155694513,0.1259545676843246,0.991965768018391,-0.01739291474223137,-0.01595958322286606,-0.999721348285675,0,0,0,-1,-1,,,,,,,,,,,,,,661122339.1719375,0,-0.27,101.8662,1,0.71
2021-12-13 16:05:39.706 -0500,,,,,,,,,,16214.089976625,-0.013275146484375,-0.0381622314453125,-0.9968414306640625,16214.085006625,0.2525891716050391,-0.01736230797970728,0.01581558310473662,-0.01877908781170845,0.0004287585616111755,-0.002330709714442492,-0.01402807608246803,-0.02027213200926781,-0.001023411750793457,XArbitraryZVertical,0.008937854409359257,-0.007615624332385613,0.1258823265435134,0.9919757016943009,-0.01735926419496536,-0.01581492461264133,-0.9997242093086243,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.71
2021-12-13 16:05:39.707 -0500,,,,,,,,,,16214.099915625,-0.014556884765625,-0.0182342529296875,-1.000717163085938,16214.094945625,0.2526168187752391,-0.01738323010563429,0.01562095262953353,-0.01603257283568382,-0.008535007946193218,-0.000731614651158452,-0.00094558484852314,-0.02351849898695946,0.003892600536346436,XArbitraryZVertical,0.008842744348580062,-0.007638142801598222,0.1258968831900035,0.9919745161083675,-0.0173802338540554,-0.01562031731009483,-0.9997269511222839,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.71
2021-12-13 16:05:39.709 -0500,,,,,,,,,,16214.109854625,0.0222930908203125,-0.018280029296875,-0.990478515625,16214.104884625,0.2523411419093005,-0.01757723310938596,0.01553282704014168,-0.006033199839293957,-0.04507490992546082,-0.05392958968877792,0.004314307123422623,-0.01399357616901398,0.001708567142486572,XArbitraryZVertical,0.008810181473713107,-0.007741133719853147,0.1257597223263364,0.9919913770499378,-0.01757420785725117,-0.01553220208734274,-0.9997249245643616,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.71
2021-12-13 16:05:39.712 -0500,,,,,,,,,,16214.119793625,-0.03253173828125,-0.0184478759765625,-1.016464233398438,16214.114823625,0.2499913857325272,-0.01673943035210847,0.01549301283492041,0.001298215705901384,-0.04917418211698532,-0.0498696006834507,-0.03210675716400146,0.01443951576948166,-0.006272017955780029,XArbitraryZVertical,0.008729136202490483,-0.007338353105650871,0.1245980213010367,0.9921417873903531,-0.01673663966357708,-0.0154923927038908,-0.9997398853302002,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.71
2021-12-13 16:05:39.722 -0500,,,,,,,,,,16214.129732625,-0.0217742919921875,-0.030609130859375,-1.003768920898438,16214.124762625,0.2496997350307568,-0.01688616132465602,0.0155099940123303,-0.00896960124373436,-0.005708728916943073,-0.004661108832806349,-0.02796226367354393,0.005697949789464474,-0.0197482705116272,XArbitraryZVertical,0.008745620208099601,-0.007411358343784707,0.124452618080162,0.9921593699797223,-0.01688332855701447,-0.01550937257707119,-0.9997371435165405,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.71
2021-12-13 16:05:39.732 -0500,,,,,,,,,,16214.139671625,-0.0261993408203125,-0.015655517578125,-1.007659912109375,16214.134701625,0.2496235085351822,-0.01689957065597259,0.01543622741883515,-0.009861494414508343,0.001844927668571472,-0.01686104945838451,-0.005243761464953423,-0.01688252203166485,0.002667784690856934,XArbitraryZVertical,0.008709578205727996,-0.007422937405992919,0.1244150896585691,0.9921643073333787,-0.01689675264060497,-0.01543561462312937,-0.9997380971908569,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.71
2021-12-13 16:05:39.742 -0500,,,,,,,,,,16214.149610625,-0.0086517333984375,-0.009490966796875,-1.004501342773438,16214.144640625,0.2494331394975026,-0.01685643793174387,0.01535440127904329,-0.006758378818631172,0.0005197394639253616,-0.0122564435005188,-0.01206176541745663,-0.004131698049604893,-0.008667528629302979,XArbitraryZVertical,0.008665597993914923,-0.007407460302163962,0.1243212177106844,0.9921765900335155,-0.01685365289449692,-0.0153537979349494,-0.9997400641441345,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.71
2021-12-13 16:05:39.752 -0500,,,,,,,,,,16214.159549625,-0.0160369873046875,0.0005645751953125,-1.009933471679688,16214.154579625,0.2493008867855571,-0.01687464172114172,0.01536466705291771,0.00447616633027792,-0.00501197949051857,-0.01717237383127213,-0.0001569706946611404,0.002424587495625019,-0.007630348205566406,XArbitraryZVertical,0.008671331950145822,-0.007416425698502285,0.1242554834403716,0.992184692595392,-0.01687184907495975,-0.01536406297236681,-0.9997395873069763,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.71
2021-12-13 16:05:39.762 -0500,,,,,,,,,,16214.169488625,-0.024017333984375,-0.0059356689453125,-1.00970458984375,16214.164518625,0.2490304519096266,-0.01695413477743272,0.01545740462778489,0.006328128278255463,-0.005021566525101662,-0.02816883102059364,0.006193839013576508,0.01054343674331903,-0.00607675313949585,XArbitraryZVertical,0.008721268818814245,-0.007451273357088329,0.1241205424423081,0.9922008846136128,-0.0169512964785099,-0.01545678917318583,-0.9997368454933167,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.71
2021-12-13 16:05:39.772 -0500,,,,,,,,,,16214.179427625,-0.0252838134765625,-0.0116119384765625,-1.008987426757812,16214.174457625,0.2488779626560638,-0.01700547332743567,0.0156112305805536,0.009297286160290241,-0.001655629836022854,-0.001517113763839006,-0.004069818183779716,0.01547324657440186,-0.011161208152771,XArbitraryZVertical,0.008800197238978763,-0.007467856843187199,0.1240439437850213,0.9922096539104241,-0.01700258255004883,-0.015610596165061,-0.999733567237854,0,0,0,-1,-1,,,,,,,,,,,,,,,,,,1,0.71
